subject,datestamp,timestamp,version,god,soc,fis,age,sex,edu,par,exd,id
test_m3r5,2014-09-07,13:10:51,la_moral_3p_random,0,0,0,Select,undef,Select,82823,undefined,876
AZFMP1J0ZLX7J_m3r5,2014-09-08,10:48:27,la_moral_3p_random,7,5,6,34,Femal,"Some College",331082,undefined,877
A22051NK9RQ4FV_m3r5,2014-09-08,11:31:44,la_moral_3p_random,7,6,5,34,Femal,"Bachelor's Degree",183784,undefined,878
A1WLTQBWNBME3F_m3r5,2014-09-08,11:34:11,la_moral_3p_random,1,1,1,29,Male,"Master's Degree",173352,undefined,879
A27Z95LLMJ3UOM_m3r5,2014-09-08,12:15:03,la_moral_3p_random,7,6,6,39,Male,"Bachelor's Degree",181623,undefined,880
A3267FRR3ER30C_m3r5,2014-09-08,12:27:36,la_moral_3p_random,1,4,4,31,Male,"Bachelor's Degree",109580,undefined,881
A4NUJN9VSJC3W_m3r5,2014-09-08,12:29:31,la_moral_3p_random,2,3,5,30,Male,"Bachelor's Degree",230437,undefined,882
A33B85TN97HQ33_m3r5,2014-09-08,12:30:26,la_moral_3p_random,7,5,5,44,Femal,"Some College",269673,undefined,883
A39C1BN9ZSQ0R2_m3r5,2014-09-08,12:31:41,la_moral_3p_random,2,4,6,30,Male,"Bachelor's Degree",261838,undefined,884
A2DQ1VB93ZKWF2_m3r5,2014-09-08,12:31:46,la_moral_3p_random,1,1,1,20,Male,"Bachelor's Degree",98885,undefined,885
A1FAE7DKA544XV_m3r5,2014-09-08,12:31:52,la_moral_3p_random,2,2,2,28,Femal,"Some College",196641,undefined,886
AT49Y7HOUVIYU_m3r5,2014-09-08,12:32:20,la_moral_3p_random,2,2,2,50,Femal,"Some College",136703,undefined,887
A1IJ0ZPL5LSU2L_m3r5,2014-09-08,12:32:23,la_moral_3p_random,1,3,2,23,Male,"Some College",329361,undefined,888
A3QIG18VHBXBSZ_m3r5,2014-09-08,12:32:30,la_moral_3p_random,1,5,5,63,Male,"Graduate Degree",229453,undefined,889
A2H4875Q9FY71K_m3r5,2014-09-08,12:33:13,la_moral_3p_random,7,6,6,44,Femal,"Bachelor's Degree",256273,undefined,890
A3ELH98LAETCP9_m3r5,2014-09-08,12:33:31,la_moral_3p_random,3,3,4,20,Femal,"Some College",291556,undefined,891
A31U7VGTEOY2RG_m3r5,2014-09-08,12:33:37,la_moral_3p_random,7,5,6,44,Femal,"Some High School",208423,undefined,892
A2GAN77CVHWV45_m3r5,2014-09-08,12:33:42,la_moral_3p_random,7,5,6,53,Male,"Some College",208823,undefined,893
A303KNHZS7LX3NX_m3r5,2014-09-08,12:34:06,la_moral_3p_random,5,2,6,22,Femal,"Bachelor's Degree",167874,undefined,894
A8OE2E20OZYKI_m3r5,2014-09-08,12:34:15,la_moral_3p_random,1,1,5,22,Femal,"Some College",189576,undefined,895
A24DZU2LIWZQCG_m3r5,2014-09-08,12:35:25,la_moral_3p_random,2,1,2,25,Femal,"High School Graduate",203922,undefined,896
A2MK1S9A4N7ZB3_m3r5,2014-09-08,12:36:09,la_moral_3p_random,1,2,2,22,Male,"Bachelor's Degree",491935,undefined,897
A2NI68982FI4SM_m3r5,2014-09-08,12:36:16,la_moral_3p_random,1,2,5,51,Femal,"Bachelor's Degree",323101,undefined,898
AVRD9XYKPXSY3_m3r5,2014-09-08,12:36:24,la_moral_3p_random,1,4,4,30,Male,"Bachelor's Degree",153398,undefined,899
AGVAY3FTPAVLQ_m3r5,2014-09-08,12:36:35,la_moral_3p_random,4,3,3,21,Femal,"High School Graduate",598333,undefined,900
A3G2JDGJCXCWVD_m3r5,2014-09-08,12:36:51,la_moral_3p_random,1,3,3,35,Male,"Bachelor's Degree",357140,undefined,901
A1VO8E1TC7IJFY_m3r5,2014-09-08,12:37:01,la_moral_3p_random,1,2,2,26,Male,"Bachelor's Degree",292066,undefined,902
A27A4AMQ7QCXKU_m3r5,2014-09-08,12:37:10,la_moral_3p_random,7,2,4,49,Male,"High School Graduate",392154,undefined,903
A1FW68HLKWGLGW_m3r5,2014-09-08,12:38:10,la_moral_3p_random,7,4,4,24,Male,"Some College",355997,undefined,904
A1UN7E3PNICY09_m3r5,2014-09-08,12:38:11,la_moral_3p_random,6,1,1,49,Femal,"Graduate Degree",252053,undefined,905
A3EZJWGS3Y9DK3_m3r5,2014-09-08,12:40:18,la_moral_3p_random,7,4,5,28,Femal,"Bachelor's Degree",364499,undefined,906
AGO0UK0SSGD07_m3r5,2014-09-08,12:41:40,la_moral_3p_random,1,1,1,24,Femal,"Bachelor's Degree",167126,undefined,907
AIH06SF8MK6XF_m3r5,2014-09-08,12:43:01,la_moral_3p_random,6,5,5,46,Male,"Graduate Degree",159890,undefined,908
A1XLALCEEC4XHG_m3r5,2014-09-08,12:43:33,la_moral_3p_random,7,5,4,32,Femal,"Bachelor's Degree",469434,undefined,909
aaezql4j6cqgm_m3r5,2014-09-08,12:45:45,la_moral_3p_random,4,4,4,27,Male,"Bachelor's Degree",250341,undefined,910
AIU8VYWN7GUK4_m3r5,2014-09-08,12:45:48,la_moral_3p_random,7,7,5,27,Femal,"Some College",1085918,undefined,911
A77431ZTRYE96_m3r5,2014-09-08,12:52:45,la_moral_3p_random,4,1,1,38,Male,"Some College",125253,undefined,912
A3GL39AZ2WUHV6_m3r5,2014-09-08,13:00:27,la_moral_3p_random,7,4,4,24,Male,"High School Graduate",249006,undefined,913
AODPVTKUSNBUT_m3r5,2014-09-08,13:01:39,la_moral_3p_random,3,2,5,29,Male,"High School Graduate",193441,undefined,914
A3CXZCKT34LV8_m3r5,2014-09-08,13:03:21,la_moral_3p_random,5,1,3,26,Male,"Some College",259583,undefined,915
A1N9I1PJXEL06H_m3r5,2014-09-08,13:09:21,la_moral_3p_random,7,3,5,29,Femal,"Some College",580918,undefined,916
A4GRO4JZRVP14_m3r5,2014-09-08,13:09:37,la_moral_3p_random,4,1,1,35,Femal,"Some College",221621,undefined,917
A36LOA6VLJU157_m3r5,2014-09-08,13:19:01,la_moral_3p_random,7,4,4,29,Femal,"Some College",662080,undefined,918
A142ZRU284W9O_m3r5,2014-09-08,13:31:25,la_moral_3p_random,1,1,2,33,Male,"Bachelor's Degree",564636,undefined,919
A1T56P6L5730HG_m3r5,2014-09-08,13:33:32,la_moral_3p_random,7,3,4,41,Femal,"High School Graduate",304216,undefined,920
A4J4GGMKJ68L0_m3r5,2014-09-08,13:52:46,la_moral_3p_random,1,3,6,24,Male,"Bachelor's Degree",172800,undefined,921
A2FU1WIEOJB669_m3r5,2014-09-08,13:55:55,la_moral_3p_random,2,2,2,27,Femal,"Bachelor's Degree",212723,undefined,922
A2E3SM3T01ENIR_m3r5,2014-09-08,14:16:17,la_moral_3p_random,2,2,2,33,Male,"Master's Degree",225513,undefined,923
A29IC6S1JES2XW_m3r5,2014-09-08,14:27:31,la_moral_3p_random,2,5,6,38,Femal,"Bachelor's Degree",196231,undefined,924
A49HPQ9P5AHU4_m3r5,2014-09-08,14:34:29,la_moral_3p_random,3,1,2,43,Male,"Bachelor's Degree",136669,undefined,925
A2LXE92OK17WE9_m3r5,2014-09-08,14:58:28,la_moral_3p_random,1,2,2,26,Femal,"Graduate Degree",147414,undefined,926
A1614EW9OY4IQ0_m3r5,2014-09-09,10:34:58,la_moral_3p_random,7,1,7,25,Femal,"Bachelor's Degree",123544,undefined,927
A3B96QLXW4J0BL_m3r5,2014-09-09,10:37:50,la_moral_3p_random,1,1,1,22,Femal,"Bachelor's Degree",252575,undefined,928
AWCE4HJPALHPH_m3r5,2014-09-09,10:38:32,la_moral_3p_random,1,1,7,34,Male,"Graduate Degree",265809,undefined,929
A3K7CBKBEH9ZNN_m3r5,2014-09-09,10:39:06,la_moral_3p_random,7,5,6,27,Male,"Bachelor's Degree",224113,undefined,930
353050_m3r5,2014-09-09,10:39:39,la_moral_3p_random,7,3,3,41,Femal,"Bachelor's Degree",247118,undefined,931
A87FX9D14KMZM_m3r5,2014-09-09,10:39:39,la_moral_3p_random,5,1,2,32,Male,"Some College",225243,undefined,932
" ARNTOT4L28BBP_m3r5",2014-09-09,10:39:53,la_moral_3p_random,2,7,7,51,Male,"Some College",222962,undefined,933
A1TU88CSLO4S3B_m3r5,2014-09-09,10:40:01,la_moral_3p_random,4,1,2,43,Male,"Some College",341313,undefined,934
AF18OIZ0GWGP2_m3r5,2014-09-09,10:40:30,la_moral_3p_random,3,3,4,39,Femal,"Bachelor's Degree",247241,undefined,935
A3TQ7M1WPR7Q44_m3r5,2014-09-09,10:40:36,la_moral_3p_random,7,4,4,54,Femal,"Some College",108783,undefined,936
A2WLGVXAVT2XTR_m3r5,2014-09-09,10:40:56,la_moral_3p_random,7,6,6,60,Male,"Some College",267410,undefined,937
A3TKPDAEAIP49V_m3r5,2014-09-09,10:42:03,la_moral_3p_random,5,3,3,30,Male,"Some College",288171,undefined,938
A2BH9WN8HDLYMM_m3r5,2014-09-09,10:42:47,la_moral_3p_random,7,4,4,30,Male,"Some College",291698,undefined,939
A1W8WP80JTGUFB_m3r5,2014-09-09,10:42:54,la_moral_3p_random,7,7,7,22,Male,"Some College",335779,undefined,940
A35GF5387FHJLJ_m3r5,2014-09-09,10:43:33,la_moral_3p_random,7,1,2,26,Femal,"Bachelor's Degree",355803,undefined,941
A321AGEY23DDEH_m3r5,2014-09-09,10:43:44,la_moral_3p_random,6,4,1,24,Male,"Master's Degree",148329,undefined,942
A2VDLRRPXV3N59_m3r5,2014-09-09,10:43:47,la_moral_3p_random,7,2,2,51,Femal,"Some College",269893,undefined,943
A3288S6SY4V4NB_m3r5,2014-09-09,10:44:03,la_moral_3p_random,7,2,6,23,Femal,"Some College",499835,undefined,944
A164L54MG5UQAU_m3r5,2014-09-09,10:44:25,la_moral_3p_random,4,4,4,23,Male,"Some College",352672,undefined,945
APR1H0B5FZNRE_m3r5,2014-09-09,10:44:46,la_moral_3p_random,2,3,3,21,Femal,"Some College",396866,undefined,946
A3N4KC3661ZIH6_m3r5,2014-09-09,10:45:38,la_moral_3p_random,3,2,6,22,Male,"Some College",674840,undefined,947
A3EG0P2HP829FU_m3r5,2014-09-09,10:46:01,la_moral_3p_random,7,4,5,30,Male,"Some College",881284,undefined,948
A80XHXZVOSB8E_m3r5,2014-09-09,10:46:27,la_moral_3p_random,6,4,4,30,Femal,"Some College",180927,undefined,949
A3C25ULYKB0F42_m3r5,2014-09-09,10:47:05,la_moral_3p_random,7,4,4,54,Femal,"High School Graduate",445875,undefined,950
A27OFAZQ6UWWZ3_m3r5,2014-09-09,10:47:33,la_moral_3p_random,7,3,6,58,Male,"Bachelor's Degree",271449,undefined,951
A1CGUFW3R6M234_m3r5,2014-09-09,10:50:47,la_moral_3p_random,3,1,1,32,Femal,"Some College",325129,undefined,952
ASFR82SJYMGNU_m3r5,2014-09-09,10:51:38,la_moral_3p_random,7,2,4,28,Femal,"Bachelor's Degree",162932,undefined,953
A2LJ3Z8LJESI7Z_m3r5,2014-09-09,10:53:51,la_moral_3p_random,1,1,3,21,Femal,"Some College",402886,undefined,954
A1EIBJSACH8DKX_m3r5,2014-09-09,10:54:35,la_moral_3p_random,7,6,7,52,Male,"Master's Degree",268625,undefined,955
A37RHQPON2RJYL_m3r5,2014-09-09,10:56:04,la_moral_3p_random,1,1,5,27,Male,"Bachelor's Degree",299855,undefined,956
A19PATBI3SQNU0_m3r5,2014-09-09,11:19:07,la_moral_3p_random,1,1,1,56,Femal,"Bachelor's Degree",197777,undefined,957
A2ISR5FI0OIHE0_m3r5,2014-09-09,11:23:04,la_moral_3p_random,6,2,2,33,Femal,"Bachelor's Degree",185999,undefined,958
A2CSENNI43N272_m3r5,2014-09-09,11:24:23,la_moral_3p_random,2,3,3,34,Male,"Some College",238733,undefined,959
A32QRY3NAE9PUD_m3r5,2014-09-09,11:25:03,la_moral_3p_random,1,1,3,34,Femal,"Bachelor's Degree",434440,undefined,960
A10VQSMGPJFSMU_m3r5,2014-09-09,11:27:12,la_moral_3p_random,1,1,2,32,Male,"Some College",328320,undefined,961
A4SKTCPDTV550_m3r5,2014-09-09,11:27:17,la_moral_3p_random,1,1,5,24,Male,"High School Graduate",334763,undefined,962
A9S9MBO58AHKX_m3r5,2014-09-09,11:45:10,la_moral_3p_random,6,4,4,29,Male,"Bachelor's Degree",343277,undefined,963
A39RF1I4KALHKM_m3r5,2014-09-09,11:55:38,la_moral_3p_random,3,1,4,23,Femal,"Some College",155620,undefined,964
ABKPEX0E9W2HW_m3r5,2014-09-09,11:56:00,la_moral_3p_random,1,1,3,53,Male,"Bachelor's Degree",130599,undefined,965
A13EP1HO0F4GX_m3r5,2014-09-09,12:01:15,la_moral_3p_random,2,2,2,27,Femal,"Bachelor's Degree",160775,undefined,966
A3BFMY5OX2WMUW_m3r5,2014-09-09,12:13:09,la_moral_3p_random,6,4,4,22,Male,"High School Graduate",2612073,undefined,967
A1FP3SH704X01V_m3r5,2014-09-09,12:13:52,la_moral_3p_random,3,4,4,25,Femal,"High School Graduate",157519,undefined,968
A2O4M3CJS7563O_m3r5,2014-09-09,12:29:55,la_moral_3p_random,1,2,2,27,Male,"Bachelor's Degree",198770,undefined,969
A1P7TCH4CD2GCV_m3r5,2014-09-09,12:32:59,la_moral_3p_random,3,4,4,22,Male,"High School Graduate",79168,undefined,970
A3OG9MWN7X6OYZ_m3r5,2014-09-09,12:42:02,la_moral_3p_random,4,3,3,22,Male,"Bachelor's Degree",251222,undefined,971
A3F55JJCVTTCCW_m3r5,2014-09-09,12:44:49,la_moral_3p_random,7,3,5,64,Male,"Bachelor's Degree",246115,undefined,972
A1Z8EJOEEHKUR6_m3r5,2014-09-09,12:51:56,la_moral_3p_random,3,5,5,35,Male,"Bachelor's Degree",380429,undefined,973
AR2TF6FMFZGP9_m3r5,2014-09-09,13:06:59,la_moral_3p_random,7,7,7,25,Femal,"High School Graduate",416753,undefined,974
A3DHJDGGSPEI0O_m3r5,2014-09-09,13:39:55,la_moral_3p_random,1,2,7,24,Male,"Bachelor's Degree",1317741,undefined,975
A3JJRBA7IT7QPL_m3r5,2014-09-09,14:03:50,la_moral_3p_random,2,2,3,26,Femal,"Master's Degree",233535,undefined,976
A13A0EE7L3YZNB_m3r5,2014-09-09,14:09:24,la_moral_3p_random,5,3,6,38,Femal,"Bachelor's Degree",313502,undefined,977
A1PZ1YZAQEXRSQ_m3r5,2014-09-09,14:09:41,la_moral_3p_random,4,3,2,32,Male,"High School Graduate",286628,undefined,978
A2O3M7EMOF8JNV_m3r5,2014-09-09,14:10:53,la_moral_3p_random,2,2,4,34,Femal,"Some College",341475,undefined,979
A2GFRYX2PIRT4S_m3r5,2014-09-09,14:10:57,la_moral_3p_random,7,3,5,30,Male,"Bachelor's Degree",240735,undefined,980
A34NNYE0Y7XCG7_m3r5,2014-09-09,14:12:31,la_moral_3p_random,1,2,3,47,Male,"Bachelor's Degree",257407,undefined,981
A9HG8QEUGH4KN_m3r5,2014-09-09,14:12:57,la_moral_3p_random,7,4,4,23,Femal,"Bachelor's Degree",224947,undefined,982
A3TH4VAS25F4BG_m3r5,2014-09-09,14:13:00,la_moral_3p_random,7,6,6,49,Femal,"Bachelor's Degree",365446,undefined,983
A1XJ3BSSZECL4P_m3r5,2014-09-09,14:13:13,la_moral_3p_random,2,4,4,19,Femal,"High School Graduate",258425,undefined,984
ACT7CRH2BAWIY_m3r5,2014-09-09,14:13:23,la_moral_3p_random,2,2,2,27,Femal,"Some College",332469,undefined,985
A2H2FY88G8L1LB_m3r5,2014-09-09,14:14:20,la_moral_3p_random,1,5,5,51,Femal,"Some College",373930,undefined,986
AKZTERGU6GRXE_m3r5,2014-09-09,14:14:54,la_moral_3p_random,7,4,4,26,Femal,"Some College",351036,undefined,987
A1S88VQY8G8CNC_m3r5,2014-09-09,14:15:20,la_moral_3p_random,7,7,6,58,Male,"Bachelor's Degree",266049,undefined,988
